timestamp,client_id,topic,QoS,message_length,retained,duplicate,Ammonia (ppm),Acetone (ppm),Ethanol (ppm),Hydrogen Sulfide (ppm),label
2025-08-04 17:29:06.831871,sensor_004,wound/gas/sensor_004,2,101,True,True,4.08,7.91,3.02,1.39,0
2025-08-04 15:24:44.832268,sensor_005,wound/gas/sensor_005,0,100,True,False,0.9,9.71,4.18,0.72,1
2025-08-04 15:56:50.832498,sensor_002,wound/gas/sensor_002,2,99,False,False,8.92,3.27,3.1,0.5,0
2025-08-04 17:11:47.832668,sensor_003,wound/gas/sensor_003,0,102,True,True,10.53,6.13,0.33,1.86,0
2025-08-04 15:16:54.832800,sensor_002,wound/gas/sensor_002,2,102,False,True,19.33,8.18,1.59,0.38,1
2025-08-04 17:30:31.832980,sensor_004,wound/gas/sensor_004,1,101,False,False,1.17,9.14,1.37,2.02,1
2025-08-04 16:39:23.833111,sensor_002,wound/gas/sensor_002,1,99,False,False,4.1,9.71,3.9,2.82,1
2025-08-04 17:26:30.833501,sensor_004,wound/gas/sensor_004,1,102,True,False,19.24,8.52,3.76,1.67,1
2025-08-04 15:20:35.833691,sensor_004,wound/gas/sensor_004,0,101,False,True,5.88,3.31,0.91,0.15,0
2025-08-04 16:58:31.833841,sensor_004,wound/gas/sensor_004,0,101,True,True,0.61,8.25,3.56,2.21,0
2025-08-04 16:00:22.833986,sensor_002,wound/gas/sensor_002,2,101,True,False,18.34,8.58,2.3,0.38,1
2025-08-04 16:57:55.834128,sensor_005,wound/gas/sensor_005,1,102,True,True,12.93,8.93,2.41,0.45,0
2025-08-04 15:40:21.834292,sensor_005,wound/gas/sensor_005,1,99,False,False,5.1,2.93,0.3,2.16,0
2025-08-04 15:32:28.834436,sensor_005,wound/gas/sensor_005,1,101,True,True,1.11,6.55,1.64,1.57,0
2025-08-04 17:15:28.834591,sensor_005,wound/gas/sensor_005,1,102,False,False,15.23,2.67,0.48,0.94,1
2025-08-04 15:00:17.834753,sensor_002,wound/gas/sensor_002,1,102,False,True,12.85,8.78,4.04,0.64,0
2025-08-04 16:10:14.834908,sensor_002,wound/gas/sensor_002,0,100,True,True,6.7,1.55,1.22,1.34,0
2025-08-04 16:29:53.835051,sensor_003,wound/gas/sensor_003,1,101,False,False,4.83,1.64,1.75,2.83,1
2025-08-04 16:40:43.835192,sensor_001,wound/gas/sensor_001,1,101,True,True,7.59,9.73,4.82,0.83,1
